cell_id,lon,lat,hora,riesgo_dyn
300120,-76.588216,3.464628,15,68.42
300120,-76.588216,3.464628,16,69.98
300120,-76.588216,3.464628,17,73.08
300120,-76.588216,3.464628,18,75.81
300120,-76.588216,3.464628,19,77.75
300120,-76.588216,3.464628,20,77.75
300120,-76.588216,3.464628,21,76.97
300120,-76.588216,3.464628,22,73.86
300120,-76.588216,3.464628,23,68.03
400117,-76.586868,3.460593,0,55.89
400117,-76.586868,3.460593,1,54.08
400117,-76.586868,3.460593,2,52.28
400117,-76.586868,3.460593,3,51.2
400117,-76.586868,3.460593,4,52.28
400117,-76.586868,3.460593,5,54.08
400117,-76.586868,3.460593,6,55.89
400117,-76.586868,3.460593,7,57.69
400117,-76.586868,3.460593,8,58.41
400117,-76.586868,3.460593,9,58.77
400117,-76.586868,3.460593,10,59.49
400117,-76.586868,3.460593,11,60.21
400117,-76.586868,3.460593,12,61.29
400117,-76.586868,3.460593,13,62.01
400117,-76.586868,3.460593,14,62.74
400117,-76.586868,3.460593,15,63.46
400117,-76.586868,3.460593,16,64.9
400117,-76.586868,3.460593,17,67.78
400117,-76.586868,3.460593,18,70.31
400117,-76.586868,3.460593,19,72.11
400117,-76.586868,3.460593,20,72.11
400117,-76.586868,3.460593,21,71.39
400117,-76.586868,3.460593,22,68.5
400117,-76.586868,3.460593,23,63.1
400118,-76.586868,3.461938,0,62.76
400118,-76.586868,3.461938,1,60.73
400118,-76.586868,3.461938,2,58.71
400118,-76.586868,3.461938,3,57.5
400118,-76.586868,3.461938,4,58.71
400118,-76.586868,3.461938,5,60.73
400118,-76.586868,3.461938,6,62.76
400118,-76.586868,3.461938,7,64.78
400118,-76.586868,3.461938,8,65.59
400118,-76.586868,3.461938,9,66.0
400118,-76.586868,3.461938,10,66.81
400118,-76.586868,3.461938,11,67.62
400118,-76.586868,3.461938,12,68.83
400118,-76.586868,3.461938,13,69.64
400118,-76.586868,3.461938,14,70.45
400118,-76.586868,3.461938,15,71.26
400118,-76.586868,3.461938,16,72.88
400118,-76.586868,3.461938,17,76.12
400118,-76.586868,3.461938,18,78.96
400118,-76.586868,3.461938,19,80.98
400118,-76.586868,3.461938,20,80.98
400118,-76.586868,3.461938,21,80.17
400118,-76.586868,3.461938,22,76.93
400118,-76.586868,3.461938,23,70.86
400119,-76.586868,3.463283,0,57.79
400119,-76.586868,3.463283,1,55.93
400119,-76.586868,3.463283,2,54.06
400119,-76.586868,3.463283,3,52.94
400119,-76.586868,3.463283,4,54.06
400119,-76.586868,3.463283,5,55.93
400119,-76.586868,3.463283,6,57.79
400119,-76.586868,3.463283,7,59.66
400119,-76.586868,3.463283,8,60.4
400119,-76.586868,3.463283,9,60.77
400119,-76.586868,3.463283,10,61.52
400119,-76.586868,3.463283,11,62.27
400119,-76.586868,3.463283,12,63.38
400119,-76.586868,3.463283,13,64.13
400119,-76.586868,3.463283,14,64.88
400119,-76.586868,3.463283,15,65.62
400119,-76.586868,3.463283,16,67.11
400119,-76.586868,3.463283,17,70.1
400119,-76.586868,3.463283,18,72.71
400119,-76.586868,3.463283,19,74.57
400119,-76.586868,3.463283,20,74.57
400119,-76.586868,3.463283,21,73.82
400119,-76.586868,3.463283,22,70.84
400119,-76.586868,3.463283,23,65.25
400120,-76.586868,3.464628,0,52.41
400120,-76.586868,3.464628,1,50.72
400120,-76.586868,3.464628,2,49.02
400120,-76.586868,3.464628,3,48.01
400120,-76.586868,3.464628,4,49.02
400120,-76.586868,3.464628,5,50.72
400120,-76.586868,3.464628,6,52.41
400120,-76.586868,3.464628,7,54.1
400120,-76.586868,3.464628,8,54.77
400120,-76.586868,3.464628,9,55.11
400120,-76.586868,3.464628,10,55.79
400120,-76.586868,3.464628,11,56.46
400120,-76.586868,3.464628,12,57.48
400120,-76.586868,3.464628,13,58.15
400120,-76.586868,3.464628,14,58.83
400120,-76.586868,3.464628,15,59.51
400120,-76.586868,3.464628,16,60.86
400120,-76.586868,3.464628,17,63.56
400120,-76.586868,3.464628,18,65.93
400120,-76.586868,3.464628,19,67.62
400120,-76.586868,3.464628,20,67.62
400120,-76.586868,3.464628,21,66.94
400120,-76.586868,3.464628,22,64.24
400120,-76.586868,3.464628,23,59.17
500116,-76.585521,3.459248,0,55.92
500116,-76.585521,3.459248,1,54.12
500116,-76.585521,3.459248,2,52.32
500116,-76.585521,3.459248,3,51.23
500116,-76.585521,3.459248,4,52.32
500116,-76.585521,3.459248,5,54.12
500116,-76.585521,3.459248,6,55.92
500116,-76.585521,3.459248,7,57.73
500116,-76.585521,3.459248,8,58.45
500116,-76.585521,3.459248,9,58.81
500116,-76.585521,3.459248,10,59.53
500116,-76.585521,3.459248,11,60.25
500116,-76.585521,3.459248,12,61.34
500116,-76.585521,3.459248,13,62.06
500116,-76.585521,3.459248,14,62.78
500116,-76.585521,3.459248,15,63.5
500116,-76.585521,3.459248,16,64.94
500116,-76.585521,3.459248,17,67.83
500116,-76.585521,3.459248,18,70.36
500116,-76.585521,3.459248,19,72.16
500116,-76.585521,3.459248,20,72.16
500116,-76.585521,3.459248,21,71.44
500116,-76.585521,3.459248,22,68.55
500116,-76.585521,3.459248,23,63.14
500117,-76.585521,3.460593,0,51.49
500117,-76.585521,3.460593,1,49.83
500117,-76.585521,3.460593,2,48.17
500117,-76.585521,3.460593,3,47.17
500117,-76.585521,3.460593,4,48.17
500117,-76.585521,3.460593,5,49.83
500117,-76.585521,3.460593,6,51.49
500117,-76.585521,3.460593,7,53.15
500117,-76.585521,3.460593,8,53.82
